building_id,metric,model,MAE,CV(RMSE),delta_cvrmse_vs_seasonal_naive_pct
Bull_education_Roland,power_active_kw,ridge_regression,32.7577,29.79,-26.69
Bull_education_Roseann,power_active_kw,seasonal_naive_168h,38.2108,36.67,0.0
Bull_education_Roseann,power_active_kw,ridge_regression,26.0846,25.55,-30.32
Bull_education_Sebastian,power_active_kw,seasonal_naive_168h,7.7766,38.35,0.0
Bull_education_Sebastian,power_active_kw,ridge_regression,5.9345,28.32,-26.15
Bull_education_Shona,power_active_kw,seasonal_naive_168h,27.795,43.62,0.0
Bull_education_Shona,power_active_kw,ridge_regression,15.3101,28.05,-35.69
Bull_education_Stewart,power_active_kw,seasonal_naive_168h,18.19,36.59,0.0
Bull_education_Stewart,power_active_kw,ridge_regression,12.9576,25.19,-31.16
Bull_education_Summer,power_active_kw,seasonal_naive_168h,5.4909,30.71,0.0
Bull_education_Summer,power_active_kw,ridge_regression,3.7848,21.0,-31.64
Bull_education_Tracey,power_active_kw,seasonal_naive_168h,32.5872,38.1,0.0
Bull_education_Tracey,power_active_kw,ridge_regression,35.9889,33.36,-12.43
Bull_education_Venita,power_active_kw,seasonal_naive_168h,6.3691,36.47,0.0
Bull_education_Venita,power_active_kw,ridge_regression,5.6524,27.94,-23.39
Bull_education_Violeta,power_active_kw,seasonal_naive_168h,20.269,38.21,0.0
Bull_education_Violeta,power_active_kw,ridge_regression,15.065,28.6,-25.15
Bull_office_Anne,power_active_kw,seasonal_naive_168h,3.301,34.71,0.0
Bull_office_Anne,power_active_kw,ridge_regression,2.1251,24.18,-30.33
Bull_office_Chantel,power_active_kw,seasonal_naive_168h,37.8641,40.1,0.0
Bull_office_Chantel,power_active_kw,ridge_regression,26.1698,28.49,-28.95
Bull_office_Claudia,power_active_kw,seasonal_naive_168h,4.8016,33.16,0.0
Bull_office_Claudia,power_active_kw,ridge_regression,3.0408,21.83,-34.16
Bull_office_Debbie,power_active_kw,seasonal_naive_168h,6.3748,40.97,0.0
Bull_office_Debbie,power_active_kw,ridge_regression,5.2087,32.0,-21.9
Bull_office_Efren,power_active_kw,seasonal_naive_168h,14.5889,185.21,0.0
Bull_office_Efren,power_active_kw,ridge_regression,13.5979,140.57,-24.1
Bull_office_Ella,power_active_kw,seasonal_naive_168h,20.1483,139.65,0.0
Bull_office_Ella,power_active_kw,ridge_regression,14.3364,94.34,-32.44
Bull_office_Hilton,power_active_kw,seasonal_naive_168h,1.1679,35.03,0.0
Bull_office_Hilton,power_active_kw,ridge_regression,0.8466,23.1,-34.06
Bull_office_Ivette,power_active_kw,seasonal_naive_168h,4.4371,39.47,0.0
Bull_office_Ivette,power_active_kw,ridge_regression,3.8459,31.31,-20.67
Bull_office_Lilla,power_active_kw,seasonal_naive_168h,74.1744,36.4,0.0
Bull_office_Lilla,power_active_kw,ridge_regression,49.192,25.86,-28.97
Bull_office_Marco,power_active_kw,seasonal_naive_168h,17.2499,119.42,0.0
Bull_office_Marco,power_active_kw,ridge_regression,9.2175,77.05,-35.48
Bull_office_Myron,power_active_kw,seasonal_naive_168h,12.0386,36.24,0.0
Bull_office_Myron,power_active_kw,ridge_regression,7.6894,24.05,-33.65
Bull_office_Nicolas,power_active_kw,seasonal_naive_168h,3.082,35.5,0.0
Bull_office_Nicolas,power_active_kw,ridge_regression,2.6927,27.35,-22.96
Bull_office_Rob,power_active_kw,seasonal_naive_168h,48.5533,38.14,0.0
Bull_office_Rob,power_active_kw,ridge_regression,34.7833,28.84,-24.38
Bull_office_Sally,power_active_kw,seasonal_naive_168h,33.2156,218.25,0.0
Bull_office_Sally,power_active_kw,ridge_regression,23.3228,153.38,-29.72
Bull_office_Trevor,power_active_kw,seasonal_naive_168h,13.5009,101.92,0.0
Bull_office_Trevor,power_active_kw,ridge_regression,8.1555,71.78,-29.57
Bull_office_Yvonne,power_active_kw,seasonal_naive_168h,27.498,38.78,0.0
Bull_office_Yvonne,power_active_kw,ridge_regression,21.7333,30.23,-22.05
Cockatoo_education_Amira,power_active_kw,seasonal_naive_168h,4.4123,24.63,0.0
Cockatoo_education_Amira,power_active_kw,ridge_regression,5.0798,20.11,-18.34
Cockatoo_education_Arlen,power_active_kw,seasonal_naive_168h,11.6144,28.95,0.0
Cockatoo_education_Arlen,power_active_kw,ridge_regression,10.9863,25.92,-10.48
Cockatoo_education_Brendan,power_active_kw,seasonal_naive_168h,4.9139,10.03,0.0
Cockatoo_education_Brendan,power_active_kw,ridge_regression,4.0572,8.21,-18.21
Cockatoo_education_Brigitte,power_active_kw,seasonal_naive_168h,30.2641,5.81,0.0
Cockatoo_education_Brigitte,power_active_kw,ridge_regression,25.0811,5.03,-13.52
Cockatoo_education_Charity,power_active_kw,seasonal_naive_168h,13.8181,7.21,0.0
Cockatoo_education_Charity,power_active_kw,ridge_regression,10.3924,5.41,-24.99
Cockatoo_education_Claudine,power_active_kw,seasonal_naive_168h,2.8483,9.81,0.0
Cockatoo_education_Claudine,power_active_kw,ridge_regression,2.2052,7.56,-22.98
Cockatoo_education_Clifton,power_active_kw,seasonal_naive_168h,0.0715,7.27,0.0
Cockatoo_education_Clifton,power_active_kw,ridge_regression,0.055,5.64,-22.42
Cockatoo_education_Collin,power_active_kw,seasonal_naive_168h,13.5795,7.8,0.0
Cockatoo_education_Collin,power_active_kw,ridge_regression,11.5791,6.37,-18.25
Cockatoo_education_Deloris,power_active_kw,seasonal_naive_168h,5.484,9.41,0.0
