date,day_of_week,month,actual_kWh,pred_dow_median,residual_dow_median,pred_overall_median,residual_overall_median
2017-03-11,5,3,51477.59,46887.9,4589.689999999995,48952.15,2525.439999999995
2017-03-12,6,3,49131.12,45671.61,3459.510000000002,48962.29,168.83000000000175
2017-03-13,0,3,56460.18,47941.98,8518.199999999997,49116.47,7343.709999999999
2017-03-14,1,3,56731.03,49093.66,7637.369999999995,49262.27,7468.760000000002
2017-03-15,2,3,61156.86,50519.15,10637.71,49480.64,11676.220000000001
2017-03-16,3,3,57161.34,51064.7,6096.639999999999,49692.97,7468.369999999995
2017-03-17,4,3,52346.31,50646.07,1700.239999999998,50423.16,1923.1499999999942
2017-03-19,6,3,49106.84,48290.97,815.8699999999953,50626.24,-1519.4000000000015
2017-03-20,0,3,52028.05,50581.21,1446.8400000000038,50622.99,1405.060000000005
2017-03-21,1,3,51193.59,51604.99,-411.40000000000146,51292.31,-98.72000000000116
2017-03-22,2,3,49515.98,54812.98,-5297.0,51290.08,-1774.0999999999985
2017-03-23,3,3,51565.740000000005,51451.47,114.27000000000407,51278.66,287.08000000000175
2017-03-24,4,3,51859.67,51395.23,464.43999999999505,51393.06,466.6100000000006
2017-03-25,5,3,51127.29,48009.79,3117.5,51493.75,-366.4599999999991
2017-03-26,6,3,48123.83,48868.82,-744.989999999998,51402.11,-3278.279999999999
2017-03-27,0,3,53844.92,52169.91,1675.0099999999948,51395.04,2449.8799999999974
2017-03-28,1,3,59971.98,52854.67,7117.310000000005,51523.0,8448.980000000003
2017-03-29,2,3,51036.65,54800.49,-3763.8399999999965,51612.72,-576.0699999999997
2017-03-30,3,3,49646.11,51609.89,-1963.7799999999988,51609.89,-1963.7799999999988
2017-03-31,4,3,51910.34,51587.75,322.5899999999965,51534.66,375.679999999993
2017-04-01,5,4,47968.65,49805.43,-1836.7799999999988,51829.99,-3861.3399999999965
2017-04-02,6,4,48153.64,49058.09,-904.4499999999971,51820.11,-3666.470000000001
2017-04-03,0,4,72151.37452032945,53277.05,18874.32452032945,51804.3,20347.07452032945
2017-04-04,1,4,55494.36,55835.04,-340.6800000000003,51845.26,3649.0999999999985
2017-04-05,2,4,55564.05,52033.13,3530.9200000000055,51851.02,3713.030000000006
2017-04-06,3,4,50317.5,51812.2,-1494.699999999997,51861.21,-1543.7099999999991
2017-04-07,4,4,50600.850000000006,52093.91,-1493.0599999999977,51808.28,-1207.429999999993
2017-04-08,5,4,48147.01,49778.51,-1631.5,51723.8,-3576.790000000001
2017-04-09,6,4,47362.98,48791.27,-1428.2899999999936,51710.12,-4347.139999999999
2017-04-10,0,4,52195.7,53119.07,-923.3700000000026,51555.55,640.1499999999942
2017-04-11,1,4,55841.1,56182.56,-341.4599999999991,51784.55,4056.5499999999956
2017-04-12,2,4,56775.56,53374.17,3401.3899999999994,51800.77,4974.790000000001
2017-04-13,3,4,50400.98,51035.8,-634.8199999999997,51819.99,-1419.0099999999948
2017-04-14,4,4,48175.63,52107.85,-3932.220000000001,51600.33,-3424.7000000000044
2017-04-15,5,4,47840.26,49751.01,-1910.75,51384.57,-3544.3099999999977
2017-04-16,6,4,52433.0,48240.24,4192.760000000002,51299.87,1133.1299999999974
2017-04-17,0,4,55074.01,52218.92,2855.090000000004,51375.81,3698.2000000000044
2017-04-18,1,4,,55671.89,,51384.98,
2017-04-19,2,4,,53420.21,,51577.64,
2017-04-20,3,4,,50361.64,,51570.11,
2017-04-21,4,4,58319.39,51350.14,6969.25,51624.88,6694.510000000002
2017-04-22,5,4,50090.18,48080.9,2009.2799999999988,51639.77,-1549.5899999999965
2017-04-23,6,4,46488.64,48258.82,-1770.1800000000003,51587.62,-5098.980000000003
2017-04-24,0,4,51241.95,53130.3,-1888.3500000000058,51565.2,-323.25
2017-04-25,1,4,54206.04,55664.69,-1458.6500000000015,51246.18,2959.8600000000006
2017-04-26,2,4,58300.26,53433.24,4867.020000000004,51272.19,7028.07
2017-04-27,3,4,58160.98,50396.58,7764.4000000000015,51601.26,6559.720000000001
2017-04-28,4,4,58846.66,51414.17,7432.490000000005,52056.68,6789.980000000003
2017-04-29,5,4,56208.42999999999,48120.21,8088.219999999994,52103.17,4105.259999999995
2017-04-30,6,4,55964.55,47818.49,8146.060000000005,52374.53,3590.020000000004
2017-05-01,0,5,61082.880000000005,53975.01,7107.870000000003,55299.88,5783.000000000007
2017-05-02,1,5,56769.02,57094.01,-324.99000000000524,56368.82,400.1999999999971
2017-05-03,2,5,53769.94,58285.22,-4515.279999999999,56383.66,-2613.720000000001
2017-05-04,3,5,52898.99,54419.91,-1520.9200000000055,55339.51,-2440.520000000004
2017-05-05,4,5,57882.18,56512.52,1369.6600000000035,55330.76,2551.4199999999983
2017-05-06,5,5,49688.42,50982.48,-1294.060000000005,56386.57,-6698.1500000000015
2017-05-07,6,5,46702.87,51764.73,-5061.860000000001,56361.3,-9658.43
2017-05-08,0,5,50066.25,55600.39,-5534.139999999999,56325.26,-6259.010000000002
2017-05-09,1,5,50321.17,56672.62,-6351.450000000004,56311.35,-5990.18
2017-05-10,2,5,52765.48,56310.74,-3545.2599999999948,55257.17,-2491.689999999995
2017-05-11,3,5,52029.16,54684.93,-2655.769999999997,54068.83,-2039.6699999999983
2017-05-12,4,5,50662.8,59162.45,-8499.649999999994,54056.93,-3394.1299999999974
2017-05-13,5,5,77332.74736551543,50779.82,26552.927365515432,54034.26,23298.48736551543
2017-05-14,6,5,50337.66,51203.5,-865.8399999999965,54005.38,-3667.719999999994
2017-05-15,0,5,52977.55,55021.65,-2044.0999999999985,53375.94,-398.3899999999994
2017-05-16,1,5,55949.7,56301.51,-351.81000000000495,52982.87,2966.8299999999945
2017-05-17,2,5,59105.75,53226.77,5878.980000000003,52993.35,6112.4000000000015
2017-05-18,3,5,60063.91,54629.9,5434.010000000002,53396.78,6667.130000000005
2017-05-19,4,5,59525.28999999999,59139.44,385.84999999999127,53416.91,6108.37999999999
2017-05-20,5,5,54323.630000000005,50809.1,3514.530000000006,53446.53,877.1000000000058
2017-05-21,6,5,47936.04,49257.01,-1320.9700000000012,54051.88,-6115.8399999999965
2017-05-22,0,5,55661.59,52997.33,2664.2599999999948,54009.83,1651.7599999999948
2017-05-23,1,5,56775.65,56013.76,761.8899999999994,54950.49,1825.1600000000035
2017-05-24,2,5,53286.57,56402.27,-3115.699999999997,54957.03,-1670.4599999999991
2017-05-25,3,5,55960.94,56454.66,-493.72000000000116,54020.0,1940.9400000000023
2017-05-26,4,5,55578.92,58694.59,-3115.6699999999983,54037.64,1541.2799999999988
2017-05-27,5,5,56357.11,52016.36,4340.75,54057.12,2299.989999999998
2017-05-28,6,5,56239.85,49161.39,7078.459999999999,54071.33,2168.519999999997
2017-05-30,1,5,59577.09,56397.11,3179.979999999996,54084.54,5492.549999999996
2017-05-31,2,5,60244.17,53606.71,6637.459999999999,54125.24,6118.93
2017-06-01,3,6,57912.4,58447.3,-534.9000000000015,58036.6,-124.19999999999709
2017-06-02,4,6,55764.87,60924.52,-5159.649999999994,58188.1,-2423.229999999996
2017-06-03,5,6,51615.19,55861.45,-4246.259999999995,58188.91,-6573.720000000001
2017-06-04,6,6,53457.82,52790.15,667.6699999999983,57637.1,-4179.279999999999
2017-06-05,0,6,61423.22,58328.32,3094.9000000000015,57620.28,3802.9400000000023
2017-06-06,1,6,58370.15,60515.58,-2145.4300000000003,58173.46,196.69000000000233
2017-06-07,2,6,55876.67,60332.74,-4456.07,58397.97,-2521.300000000003
2017-06-08,3,6,53104.92,59032.84,-5927.919999999998,58384.26,-5279.340000000004
2017-06-09,4,6,55011.99,57738.61,-2726.6200000000026,58368.52,-3356.529999999999
2017-06-10,5,6,53207.56,55475.7,-2268.1399999999994,58356.19,-5148.630000000005
2017-06-11,6,6,52609.07,53739.73,-1130.6600000000035,58332.03,-5722.959999999999
2017-06-12,0,6,55463.53,58222.6,-2759.0699999999997,58299.21,-2835.6800000000003
2017-06-13,1,6,55191.68,60392.53,-5200.8499999999985,58279.29,-3087.6100000000006
2017-06-14,2,6,58050.8,60201.31,-2150.5099999999948,58266.54,-215.73999999999796
2017-06-15,3,6,57744.3,58922.37,-1178.0699999999997,58114.11,-369.8099999999977
2017-06-19,0,6,60804.18,58214.6,2589.5800000000017,57974.93,2829.25
2017-06-20,1,6,59079.76,59637.46,-557.6999999999971,58007.1,1072.6600000000035
2017-06-21,2,6,69960.615548544,57632.29,12328.325548543995,58031.45,11929.165548543999
2017-06-22,3,6,70868.42657247449,57886.12,12982.306572474488,58039.37,12829.056572474488
2017-06-23,4,6,72681.46599303877,57710.82,14970.645993038772,58253.32,14428.145993038772
2017-06-24,5,6,63226.88815933203,55775.98,7450.90815933203,58269.86,4957.028159332032
2017-06-25,6,6,61870.40115155969,53083.2,8787.20115155969,58031.35,3839.051151559688
2017-06-26,0,6,66465.04703162092,60254.98,6210.067031620922,58004.65,8460.397031620923
2017-06-27,1,6,65938.47152940927,58745.69,7192.7815294092725,57849.08,8089.391529409273
2017-06-28,2,6,57232.89,58973.68,-1740.7900000000009,57324.82,-91.93000000000029
2017-06-29,3,6,58947.240000000005,57843.36,1103.8800000000047,57069.11,1878.1300000000047
2017-06-30,4,6,54403.21,57688.59,-3285.3799999999974,57074.72,-2671.510000000002
2017-07-01,5,7,48355.35,54637.79,-6282.440000000002,57685.41,-9330.060000000005
2017-07-02,6,7,50920.46000000001,54157.34,-3236.87999999999,57160.1,-6239.639999999992
2017-07-03,0,7,56465.3,59883.54,-3418.239999999998,56810.55,-345.25
2017-07-05,2,7,61440.95,58664.48,2776.469999999994,56662.26,4778.689999999995
2017-07-06,3,7,62900.73,59383.05,3517.6800000000003,57148.71,5752.020000000004
2017-07-07,4,7,60774.89,56385.23,4389.659999999996,57669.38,3105.510000000002
2017-07-08,5,7,54131.42999999999,53389.45,741.9799999999959,57703.92,-3572.4900000000052
2017-07-09,6,7,53453.42,53757.78,-304.3600000000006,57192.5,-3739.0800000000017
2017-07-10,0,7,60281.49,57201.37,3080.1199999999953,56972.04,3309.449999999997
2017-07-11,1,7,61374.36,58447.1,2927.260000000002,57686.31,3688.050000000003
2017-07-12,2,7,60188.48,60047.05,141.4300000000003,58108.41,2080.0699999999997
2017-07-13,3,7,59493.100000000006,60895.38,-1402.2799999999916,58547.41,945.6900000000023
2017-07-14,4,7,60802.26,58405.24,2397.020000000004,58953.01,1849.25
2017-07-15,5,7,54426.09,54169.78,256.3099999999977,59315.55,-4889.460000000006
2017-07-16,6,7,53464.65,53502.54,-37.88999999999942,59291.91,-5827.260000000002
2017-07-17,0,7,60987.71000000001,59072.69,1915.020000000004,59120.76,1866.9500000000044
2017-07-18,1,7,60399.11,58786.12,1612.989999999998,59748.18,650.9300000000003
2017-07-19,2,7,60589.87,60589.12,0.75,59773.55,816.3199999999997
2017-07-20,3,7,60940.52,60910.07,30.44999999999709,59792.52,1148.0
2017-07-21,4,7,59728.11,60857.3,-1129.1900000000023,59816.14,-88.02999999999884
2017-07-22,5,7,55642.15,54369.46,1272.6900000000023,59701.3,-4059.1500000000015
2017-07-23,6,7,56468.78999999999,53562.15,2906.639999999992,58978.02,-2509.230000000003
2017-07-24,0,7,61971.07000000001,59171.92,2799.1500000000087,58959.71,3011.360000000008
2017-07-25,1,7,67489.39123843375,60351.31,7138.081238433748,59694.05,7795.341238433743
2017-07-26,2,7,67773.59577570297,60473.37,7300.225775702966,59694.8,8078.795775702965
2017-07-27,3,7,69790.52935401385,60554.44,9236.08935401385,59693.92,10096.609354013854
2017-07-28,4,7,71793.86665690405,60344.27,11449.596656904054,59957.69,11836.176656904048
2017-07-29,5,7,64657.58602599945,54395.3,10262.286025999449,60074.83,4582.75602599945
2017-07-30,6,7,61304.781161070794,53550.48,7754.301161070791,60049.74,1255.041161070796
2017-07-31,0,7,67098.38664048832,60659.2,6439.1866404883185,59982.9,7115.486640488314
2017-08-01,1,8,68121.49777515799,60803.76,7317.737775157984,61108.04,7013.457775157985
2017-08-02,2,8,68099.43675876346,61539.24,6560.1967587634645,61100.03,6999.406758763464
2017-08-03,3,8,68509.28370975613,62109.97,6399.313709756127,60759.96,7749.323709756129
2017-08-04,4,8,68094.06468363937,61984.39,6109.674683639372,60498.45,7595.614683639375
2017-08-05,5,8,53886.59,56131.73,-2245.1400000000067,60219.76,-6333.1700000000055
2017-08-06,6,8,53669.28,54517.7,-848.4199999999983,60176.8,-6507.520000000004
2017-08-07,0,8,62517.22,61750.09,767.1300000000047,60129.26,2387.959999999999
2017-08-08,1,8,60341.79,60781.29,-439.5,60154.13,187.6600000000035
2017-08-09,2,8,58164.0,60820.22,-2656.220000000001,60173.95,-2009.949999999997
2017-08-10,3,8,58555.36,61367.92,-2812.5599999999977,59927.24,-1371.8799999999974
2017-08-11,4,8,60164.67999999999,61426.64,-1261.9600000000064,59757.02,407.6599999999962
2017-08-12,5,8,56891.96,56112.31,779.6500000000015,59774.99,-2883.029999999999
2017-08-13,6,8,54790.030000000006,54512.89,277.1400000000067,59746.63,-4956.599999999991
2017-08-14,0,8,60993.44,62283.39,-1289.949999999997,59702.62,1290.8199999999997
2017-08-15,1,8,63041.93,60163.73,2878.199999999997,59724.29,3317.6399999999994
2017-08-16,2,8,62171.59999999999,59874.33,2297.2699999999895,59752.79,2418.8099999999904
2017-08-17,3,8,61844.350000000006,60975.42,868.9300000000076,59777.51,2066.840000000004
2017-08-18,4,8,60863.58,60564.65,298.9300000000003,59802.14,1061.4400000000023
2017-08-19,5,8,51629.1,56859.47,-5230.370000000003,59815.83,-8186.730000000003
2017-08-20,6,8,52548.71,54675.94,-2127.230000000003,59764.31,-7215.5999999999985
2017-08-21,0,8,60306.130000000005,61715.92,-1409.7899999999936,59722.4,583.7300000000032
2017-08-22,1,8,61657.14,60186.69,1470.449999999997,59747.25,1909.8899999999994
2017-08-23,2,8,58685.7,59885.15,-1199.4500000000044,59763.61,-1077.9100000000035
2017-08-24,3,8,56978.23,60831.83,-3853.5999999999985,59596.74,-2618.5099999999948
2017-08-25,4,8,57136.61,60521.83,-3385.220000000001,59470.4,-2333.790000000001
2017-08-26,5,8,53754.64,55411.91,-1657.270000000004,59473.36,-5718.720000000001
2017-08-27,6,8,54115.42,54103.23,12.189999999995052,59440.89,-5325.470000000001
2017-09-01,4,9,54178.77,57966.34,-3787.5699999999997,57621.15,-3442.3800000000047
2017-09-02,5,9,47320.29,52140.2,-4819.909999999996,57230.05,-9909.760000000002
2017-09-03,6,9,50661.17,52162.99,-1501.8199999999997,56750.07,-6088.9000000000015
2017-09-05,1,9,59978.57000000001,59031.92,946.6500000000087,56470.92,3507.6500000000087
2017-09-06,2,9,59689.94,57185.19,2504.75,56496.66,3193.279999999999
2017-09-07,3,9,54260.9,57318.01,-3057.1100000000006,56519.15,-2258.25
2017-09-08,4,9,53997.73,56766.2,-2768.469999999994,56483.92,-2486.189999999995
2017-09-09,5,9,48929.28,50947.06,-2017.7799999999988,56445.73,-7516.450000000004
2017-09-10,6,9,48550.81,51552.19,-3001.3800000000047,55741.56,-7190.75
2017-09-11,0,9,53947.62,58626.67,-4679.049999999996,55141.51,-1193.8899999999994
2017-09-12,1,9,57742.83,59679.92,-1937.0899999999965,55018.04,2724.790000000001
2017-09-13,2,9,61598.54,58112.85,3485.6900000000023,55036.67,6561.870000000003
2017-09-14,3,9,61073.75,55891.69,5182.059999999998,55084.81,5988.940000000002
2017-09-15,4,9,59717.96,54680.87,5037.0899999999965,55230.38,4487.580000000002
2017-09-16,5,9,56265.490000000005,49391.11,6874.380000000005,56065.2,200.29000000000815
2017-09-17,6,9,55958.08,50724.73,5233.3499999999985,55752.38,205.70000000000437
2017-09-18,0,9,61973.86,58777.33,3196.529999999999,55632.31,6341.550000000003
2017-09-19,1,9,82650.02525837174,59899.05,22750.975258371735,55695.99,26954.03525837174
2017-09-20,2,9,61393.990000000005,60066.8,1327.1900000000023,55758.51,5635.480000000003
2017-09-21,3,9,60149.46000000001,57756.09,2393.37000000001,55812.61,4336.850000000006
2017-09-22,4,9,60082.51,54917.3,5165.209999999999,56223.98,3858.529999999999
2017-09-23,5,9,54183.27,50647.9,3535.3699999999953,56707.95,-2524.6800000000003
2017-09-24,6,9,55182.03,51694.82,3487.209999999999,56225.81,-1043.7799999999988
2017-09-25,0,9,60143.12,58975.62,1167.5,55830.61,4312.510000000002
2017-09-26,1,9,60584.5,60067.93,516.5699999999997,55864.87,4719.629999999997
2017-09-27,2,9,60867.3,60738.38,128.92000000000553,56308.2,4559.100000000006
2017-09-28,3,9,58568.23,57937.57,630.6600000000035,57228.1,1340.1300000000047
2017-09-29,4,9,54265.01,57165.75,-2900.739999999998,58372.91,-4107.9000000000015
2017-09-30,5,9,55816.85248030569,51743.34,4073.512480305697,58342.59,-2525.737519694303
2017-10-01,6,10,54197.538515073335,44784.5,9413.038515073335,49200.84,4996.698515073338
2017-10-02,0,10,60741.96787612648,50082.49,10659.477876126482,49095.91,11646.057876126477
2017-10-03,1,10,62024.74791455773,50836.45,11188.297914557734,49864.02,12160.727914557734
2017-10-04,2,10,64269.53109045948,51560.62,12708.911090459478,49871.73,14397.801090459478
2017-10-05,3,10,65285.887495559946,50084.97,15200.917495559945,49902.92,15382.967495559948
2017-10-06,4,10,68371.04538294731,48080.12,20290.92538294731,50534.49,17836.555382947314
2017-10-07,5,10,56372.59,43704.28,12668.309999999998,50718.97,5653.619999999995
2017-10-08,6,10,59655.68,46833.28,12822.400000000001,50694.66,8961.019999999997
2017-10-10,1,10,62057.560000000005,51619.82,10437.740000000005,50841.28,11216.280000000006
2017-10-11,2,10,64634.91,51796.78,12838.130000000005,51146.75,13488.160000000003
2017-10-12,3,10,58979.0,51087.97,7891.029999999999,51390.83,7588.169999999998
2017-10-13,4,10,53522.52,50513.91,3008.6099999999933,51417.01,2105.5099999999948
2017-10-14,5,10,46758.2,46560.9,197.29999999999563,51544.55,-4786.350000000006
2017-10-15,6,10,57005.35,47510.18,9495.169999999998,51492.09,5513.260000000002
2017-10-16,0,10,54240.8,51422.4,2818.4000000000015,51950.14,2290.6600000000035
2017-10-17,1,10,48810.72,53485.6,-4674.879999999997,52176.19,-3365.470000000001
2017-10-18,2,10,50981.51,54205.01,-3223.5,51910.77,-929.2599999999948
2017-10-19,3,10,52741.29,54127.74,-1386.449999999997,51432.96,1308.3300000000017
2017-10-20,4,10,54452.5,51970.7,2481.800000000003,51911.18,2541.3199999999997
2017-10-21,5,10,50425.59,46115.2,4310.389999999999,53008.37,-2582.780000000006
2017-10-22,6,10,51029.73,52363.77,-1334.0399999999936,53001.93,-1972.199999999997
2017-10-23,0,10,60281.18000000001,52867.8,7413.380000000005,52965.24,7315.94000000001
2017-10-24,1,10,59176.67,52876.34,6300.330000000002,53509.48,5667.189999999995
2017-10-25,2,10,50656.81999999999,54039.73,-3382.9100000000108,53919.03,-3262.2100000000064
2017-10-26,3,10,48952.57000000001,55182.9,-6230.3299999999945,53921.24,-4968.669999999991
2017-10-27,4,10,52752.75,53898.5,-1145.75,53919.41,-1166.6600000000035
2017-10-28,5,10,51478.56,48514.62,2963.939999999995,53931.14,-2452.5800000000017
2017-10-29,6,10,55079.35,53918.44,1160.9099999999962,53909.32,1170.0299999999988
2017-10-30,0,10,49701.39,53878.7,-4177.309999999998,54216.93,-4515.540000000001
2017-10-31,1,10,48896.34,56838.16,-7941.820000000007,54140.62,-5244.280000000006
2017-11-01,2,11,50782.45,51606.94,-824.4900000000052,51997.61,-1215.1600000000035
2017-11-02,3,11,56100.100000000006,52862.77,3237.330000000009,51527.98,4572.120000000003
2017-11-03,4,11,57826.26,51655.57,6170.690000000002,51553.81,6272.450000000004
2017-11-04,5,11,45627.12,48780.69,-3153.5699999999997,51597.13,-5970.009999999995
2017-11-05,6,11,63243.591140491095,53659.54,9584.051140491094,50900.63,12342.961140491097
2017-11-06,0,11,57697.29,51657.64,6039.6500000000015,50484.08,7213.209999999999
2017-11-07,1,11,52209.48,51753.02,456.4600000000064,50552.46,1657.020000000004
2017-11-08,2,11,54977.94,49752.3,5225.639999999999,50603.71,4374.230000000003
2017-11-09,3,11,53486.42,53348.68,137.73999999999796,50695.37,2791.0499999999956
2017-11-12,6,11,48533.65,51000.23,-2466.5800000000017,50743.71,-2210.0599999999977
2017-11-13,0,11,53570.1,54898.11,-1328.010000000002,50686.28,2883.8199999999997
2017-11-15,2,11,50776.27,49843.55,932.7199999999939,50694.96,81.30999999999767
2017-11-16,3,11,51332.77,52060.74,-727.9700000000012,50711.17,621.5999999999985
2017-11-17,4,11,50515.04,51874.47,-1359.4300000000003,50717.92,-202.87999999999738
2017-11-18,5,11,49897.44,46989.53,2907.9100000000035,50682.74,-785.2999999999956
2017-11-19,6,11,47415.72,48708.17,-1292.449999999997,50657.72,-3242.0
2017-11-20,0,11,51825.25,55517.12,-3691.8700000000026,50629.17,1196.0800000000017
2017-11-21,1,11,52575.880000000005,49507.07,3068.810000000005,50644.2,1931.6800000000076
2017-11-22,2,11,50973.8,50670.59,303.2100000000064,50670.59,303.2100000000064
2017-11-24,4,11,49735.96,51408.88,-1672.9199999999983,50754.72,-1018.760000000002
2017-11-25,5,11,49588.62,48903.87,684.75,50699.12,-1110.5
2017-11-26,6,11,46254.03,47934.21,-1680.1800000000003,50705.28,-4451.25
2017-11-27,0,11,50871.05,52618.38,-1747.3299999999945,50666.46,204.59000000000378
2017-11-28,1,11,51721.69,52295.23,-573.5400000000009,50681.91,1039.7799999999988
2017-11-29,2,11,52808.32,50794.67,2013.6500000000015,50743.3,2065.019999999997
2017-11-30,3,11,50744.630000000005,52338.85,-1594.219999999994,50851.68,-107.04999999999563
2017-12-01,4,12,50530.15,55358.32,-4828.169999999998,55589.96,-5059.809999999998
2017-12-02,5,12,48167.07,54166.77,-5999.699999999997,55575.9,-7408.830000000002
2017-12-03,6,12,47467.600000000006,51169.68,-3702.0799999999945,55539.29,-8071.689999999995
2017-12-04,0,12,52891.0,57559.88,-4668.879999999997,55508.53,-2617.529999999999
2017-12-05,1,12,54145.36,56809.13,-2663.769999999997,55489.96,-1344.5999999999985
