building_id,metric,model_selected,MAE,CV(RMSE),cvrmse_seasonal_naive,delta_cvrmse_pct,med_ae
Bull_education_Clarice,power_active_kw,ridge_regression,3.7291,22.58,33.99,-33.58,1.9095
Bull_education_Clarita,cooling_kw,ridge_regression,118.2023,125.91,178.12,-29.31,62.7643
Bull_education_Clarita,power_active_kw,ridge_regression,34.1336,25.39,35.88,-29.22,13.0945
Bull_education_Dakota,power_active_kw,ridge_regression,9.7963,33.47,43.09,-22.32,4.596
Bull_education_Dan,cooling_kw,ridge_regression,65.6785,43.68,86.31,-49.39,42.7624
Bull_education_Dan,power_active_kw,ridge_regression,20.3546,25.18,35.95,-29.97,9.6173
Bull_education_Dania,cooling_kw,ridge_regression,19.4956,60.55,125.56,-51.78,12.9908
Bull_education_Dania,power_active_kw,ridge_regression,4.9898,25.83,34.05,-24.14,2.4448
Bull_education_Delia,cooling_kw,ridge_regression,742.107,157.9,244.5,-35.42,382.5629
Bull_education_Delia,power_active_kw,ridge_regression,191.2544,166.42,235.76,-29.41,93.5666
Bull_education_Dora,cooling_kw,ridge_regression,62.0327,122.03,180.36,-32.34,34.0162
Bull_education_Dora,power_active_kw,ridge_regression,19.7269,30.73,42.76,-28.14,9.8347
Bull_education_Dottie,cooling_kw,ridge_regression,1358.6288,210.47,241.76,-12.94,1065.109
Bull_education_Dottie,power_active_kw,ridge_regression,608.1172,178.0,236.33,-24.68,456.3334
Bull_education_Elva,cooling_kw,ridge_regression,20.5036,27.2,60.95,-55.38,16.2064
Bull_education_Elva,power_active_kw,ridge_regression,6.185,22.36,32.36,-30.89,2.4801
Bull_education_Fabiola,cooling_kw,ridge_regression,74.4345,128.94,197.63,-34.76,41.9362
Bull_education_Fabiola,power_active_kw,ridge_regression,28.3279,29.42,38.74,-24.07,11.4431
Bull_education_Geneva,cooling_kw,ridge_regression,20.4334,112.13,189.72,-40.9,12.1331
Bull_education_Geneva,power_active_kw,ridge_regression,7.4041,41.67,58.1,-28.28,5.2698
Bull_education_Genie,cooling_kw,ridge_regression,64.684,100.08,164.55,-39.18,37.7588
Bull_education_Genie,power_active_kw,ridge_regression,18.6023,28.97,37.85,-23.46,6.5697
Bull_education_Gregory,cooling_kw,ridge_regression,21.3641,25.36,51.01,-50.29,16.528
Bull_education_Gregory,power_active_kw,ridge_regression,9.3341,29.21,37.28,-21.67,4.2974
Bull_education_Hayley,cooling_kw,ridge_regression,66.3473,160.5,250.48,-35.92,36.4561
Bull_education_Hayley,power_active_kw,ridge_regression,18.2718,25.16,35.6,-29.31,6.6991
Bull_education_Jae,cooling_kw,ridge_regression,167.1402,172.51,260.65,-33.81,86.9365
Bull_education_Jae,power_active_kw,ridge_regression,42.5867,24.14,36.19,-33.29,12.6654
Bull_education_Jeffery,power_active_kw,ridge_regression,81.0738,89.3,134.7,-33.71,23.549
Bull_education_Joseph,cooling_kw,ridge_regression,58.2933,45.7,78.42,-41.73,37.936
Bull_education_Joseph,power_active_kw,ridge_regression,16.1327,27.01,34.59,-21.91,5.8886
Bull_education_Juan,cooling_kw,ridge_regression,127.7499,68.49,122.42,-44.05,93.494
Bull_education_Juan,power_active_kw,ridge_regression,36.69,29.53,40.77,-27.57,18.8502
Bull_education_Kendra,cooling_kw,ridge_regression,189.3931,62.0,101.94,-39.18,136.1658
Bull_education_Kendra,power_active_kw,ridge_regression,62.4677,25.15,37.44,-32.83,26.5972
Bull_education_Krista,cooling_kw,ridge_regression,103.5231,86.81,128.21,-32.29,67.351
Bull_education_Krista,power_active_kw,ridge_regression,37.0643,27.39,37.12,-26.21,16.7575
Bull_education_Kristal,cooling_kw,ridge_regression,182.5404,65.17,150.42,-56.67,139.5323
Bull_education_Kristal,power_active_kw,ridge_regression,35.4309,24.7,35.11,-29.65,12.3503
Bull_education_Lenny,cooling_kw,ridge_regression,17.3729,63.44,112.91,-43.81,12.8762
Bull_education_Lenny,power_active_kw,ridge_regression,3.884,22.03,35.63,-38.16,2.0128
Bull_education_Linnie,cooling_kw,ridge_regression,116.7612,76.29,126.51,-39.69,82.6004
Bull_education_Linnie,power_active_kw,ridge_regression,37.0343,33.16,45.54,-27.19,19.5879
Bull_education_Luke,cooling_kw,ridge_regression,104.9715,36.01,73.19,-50.79,78.1924
Bull_education_Luke,power_active_kw,ridge_regression,46.9608,28.9,40.03,-27.82,25.4573
Bull_education_Lydia,cooling_kw,ridge_regression,39.6619,39.48,63.35,-37.68,27.065
Bull_education_Lydia,power_active_kw,ridge_regression,13.7514,25.93,35.18,-26.3,6.1567
Bull_education_Lyn,cooling_kw,ridge_regression,11.0006,95.6,165.89,-42.37,7.297
Bull_education_Lyn,power_active_kw,ridge_regression,4.7935,33.24,45.24,-26.52,2.8294
Bull_education_Magaret,cooling_kw,ridge_regression,46.0713,142.68,230.56,-38.12,31.2894
Bull_education_Magaret,power_active_kw,ridge_regression,16.1566,32.04,46.82,-31.56,11.2577
Bull_education_Mario,cooling_kw,ridge_regression,47.5874,146.11,228.59,-36.08,27.2541
Bull_education_Mario,power_active_kw,ridge_regression,18.9833,33.07,41.87,-21.01,8.8144
Bull_education_Matilda,cooling_kw,ridge_regression,66.5046,70.03,123.84,-43.45,41.4005
Bull_education_Matilda,power_active_kw,ridge_regression,20.8611,84.1,121.42,-30.73,10.8546
Bull_education_Mervin,cooling_kw,ridge_regression,76.2155,74.89,139.86,-46.45,53.3452
Bull_education_Mervin,power_active_kw,ridge_regression,25.2392,25.96,37.24,-30.29,14.7485
Bull_education_Miquel,cooling_kw,ridge_regression,100.6488,87.23,154.32,-43.48,57.7713
Bull_education_Miquel,power_active_kw,ridge_regression,40.6577,30.9,40.51,-23.73,15.9783
Bull_education_Miranda,cooling_kw,ridge_regression,10.4905,42.75,78.08,-45.25,7.538
Bull_education_Miranda,power_active_kw,ridge_regression,20.8699,27.37,39.05,-29.9,11.4555
Bull_education_Myra,cooling_kw,ridge_regression,27.3575,132.83,218.54,-39.22,19.2633
Bull_education_Myra,power_active_kw,ridge_regression,10.1478,32.64,48.6,-32.85,5.5043
Bull_education_Nichole,cooling_kw,ridge_regression,59.9915,54.54,102.39,-46.73,45.4768
Bull_education_Nichole,power_active_kw,ridge_regression,25.5352,27.03,35.4,-23.67,9.7382
Bull_education_Nina,cooling_kw,ridge_regression,113.0633,66.06,139.72,-52.72,72.8405
Bull_education_Nina,power_active_kw,ridge_regression,23.7242,24.31,36.32,-33.06,7.462
Bull_education_Nolan,power_active_kw,ridge_regression,8.1601,23.78,33.01,-27.97,4.7181
Bull_education_Olive,cooling_kw,ridge_regression,20.94,82.74,128.93,-35.83,15.2543
Bull_education_Olive,power_active_kw,ridge_regression,15.7778,32.97,42.7,-22.78,9.179
Bull_education_Pablo,cooling_kw,ridge_regression,15.8252,60.06,102.18,-41.23,10.1693
Bull_education_Pablo,power_active_kw,ridge_regression,6.7749,29.77,39.62,-24.86,3.1415
Bull_education_Pamela,cooling_kw,ridge_regression,73.2156,69.09,113.11,-38.92,48.669
Bull_education_Pamela,power_active_kw,ridge_regression,20.6165,25.62,35.54,-27.9,8.4029
Bull_education_Patrina,cooling_kw,ridge_regression,17.9582,81.07,155.43,-47.84,10.5904
Bull_education_Patrina,power_active_kw,ridge_regression,4.4258,32.02,49.24,-34.97,3.0232
Bull_education_Racheal,cooling_kw,ridge_regression,189.0211,65.5,123.52,-46.98,134.033
Bull_education_Racheal,power_active_kw,ridge_regression,58.6016,25.69,35.89,-28.4,16.5088
Bull_education_Reina,cooling_kw,ridge_regression,31.264,25.17,46.73,-46.13,19.163
Bull_education_Reina,power_active_kw,ridge_regression,12.2986,26.9,39.64,-32.15,5.8742
Bull_education_Reynaldo,cooling_kw,ridge_regression,13.3988,30.94,67.99,-54.49,10.1749
Bull_education_Reynaldo,power_active_kw,ridge_regression,5.6411,25.09,37.46,-33.03,3.3014
Bull_education_Roland,cooling_kw,ridge_regression,101.1841,170.99,270.43,-36.77,42.7519
Bull_education_Roland,power_active_kw,ridge_regression,32.7577,29.79,40.63,-26.69,13.1864
