entity_id,detector,start,end,duration_h,peak_score,peak_ts,scope,type,group,matches_label
Bull_office_Chantel,profile_band,2017-08-31 04:00:00,2017-08-31 04:00:00,1,4.001978506227799,2017-08-31 04:00:00,point,after_hours,A,False
Bull_office_Chantel,profile_band_sustained+profile_band,2017-09-01 09:00:00,2017-09-03 06:00:00,46,12.531645569620252,2017-09-02 06:00:00,interval,after_hours,A,False
Bull_office_Chantel,profile_band,2017-09-01 09:00:00,2017-09-01 10:00:00,2,4.6315032150726205,2017-09-01 09:00:00,point,spike,A,False
Bull_office_Chantel,profile_band,2017-09-01 15:00:00,2017-09-01 16:00:00,2,4.3228725948272695,2017-09-01 16:00:00,point,spike,A,False
Bull_office_Chantel,profile_band,2017-09-01 19:00:00,2017-09-01 19:00:00,1,4.108261898630171,2017-09-01 19:00:00,point,after_hours,A,False
Bull_office_Chantel,profile_band,2017-09-02 10:00:00,2017-09-02 11:00:00,2,5.395926075812762,2017-09-02 11:00:00,point,after_hours,A,False
Bull_office_Chantel,profile_band,2017-09-02 14:00:00,2017-09-02 14:00:00,1,4.761111243364201,2017-09-02 14:00:00,point,after_hours,A,False
Bull_office_Chantel,profile_band,2017-09-02 17:00:00,2017-09-02 17:00:00,1,5.279634565558176,2017-09-02 17:00:00,point,after_hours,A,False
Bull_office_Chantel,profile_band,2017-09-02 23:00:00,2017-09-02 23:00:00,1,5.341966815054634,2017-09-02 23:00:00,point,after_hours,A,False
Bull_office_Chantel,profile_band,2017-09-03 05:00:00,2017-09-03 06:00:00,2,5.189873417721519,2017-09-03 06:00:00,point,after_hours,A,False
Bull_office_Chantel,profile_band,2017-09-08 10:00:00,2017-09-08 10:00:00,1,5.0042862799876415,2017-09-08 10:00:00,point,spike,A,False
Bull_office_Chantel,profile_band_sustained,2017-09-08 16:00:00,2017-09-09 06:00:00,15,3.3910309695432663,2017-09-09 04:00:00,interval,after_hours,A,False
Bull_office_Chantel,profile_band,2017-09-09 04:00:00,2017-09-09 04:00:00,1,4.148118170781061,2017-09-09 04:00:00,point,after_hours,A,False
Bull_office_Chantel,profile_band_sustained+profile_band,2017-09-09 10:00:00,2017-09-10 00:00:00,15,10.10204081632653,2017-09-09 19:00:00,interval,after_hours,A,False
Bull_office_Chantel,profile_band,2017-10-20 17:00:00,2017-10-20 17:00:00,1,4.372680205395654,2017-10-20 17:00:00,point,spike,A,True
Bull_office_Chantel,profile_band_sustained+profile_band,2017-11-10 10:00:00,2017-11-11 06:00:00,21,7.696811067779626,2017-11-10 15:00:00,interval,after_hours,A,True
Bull_office_Chantel,profile_band_sustained,2017-11-11 12:00:00,2017-11-11 23:00:00,12,4.728148186640687,2017-11-11 23:00:00,interval,after_hours,A,True
Bull_office_Chantel,profile_band,2017-11-11 14:00:00,2017-11-11 15:00:00,2,5.6969295006955925,2017-11-11 15:00:00,point,after_hours,A,True
Bull_office_Chantel,profile_band,2017-11-11 22:00:00,2017-11-11 23:00:00,2,8.635583032932551,2017-11-11 23:00:00,point,after_hours,A,True
Bull_office_Chantel,profile_band,2017-11-13 01:00:00,2017-11-13 01:00:00,1,5.109446629351627,2017-11-13 01:00:00,point,after_hours,A,True
Bull_office_Chantel,profile_band,2017-11-20 11:00:00,2017-11-20 11:00:00,1,21.0218259218726,2017-11-20 11:00:00,point,spike,A,False
Bull_office_Chantel,profile_band,2017-11-24 10:00:00,2017-11-24 10:00:00,1,43.915423080693095,2017-11-24 10:00:00,point,spike,A,False
Bull_office_Chantel,profile_band_sustained,2017-11-24 10:00:00,2017-11-24 10:00:00,1,6.988596554721574,2017-11-24 15:00:00,interval,sustained_high,A,False
Bull_office_Lilla,profile_band_sustained,2017-01-07 00:00:00,2017-01-07 03:00:00,4,3.0027673381671267,2017-01-07 03:00:00,interval,after_hours,A,False
Bull_office_Lilla,profile_band,2017-01-19 14:00:00,2017-01-19 14:00:00,1,5.439643069482541,2017-01-19 14:00:00,point,spike,A,False
Bull_office_Lilla,profile_band_sustained,2017-02-03 17:00:00,2017-02-03 22:00:00,6,2.7763139305479094,2017-02-03 22:00:00,interval,after_hours,A,True
Bull_office_Lilla,profile_band_sustained,2017-02-04 12:00:00,2017-02-04 22:00:00,11,3.500950196621639,2017-02-04 18:00:00,interval,after_hours,A,True
Bull_office_Lilla,profile_band_sustained,2017-02-05 14:00:00,2017-02-05 20:00:00,7,2.6656689003325016,2017-02-05 20:00:00,interval,after_hours,A,True
Bull_office_Lilla,profile_band_sustained,2017-02-06 15:00:00,2017-02-06 20:00:00,6,2.7837169966219206,2017-02-06 20:00:00,interval,sustained_high,A,True
Bull_office_Lilla,profile_band_sustained+profile_band,2017-03-24 20:00:00,2017-03-25 05:00:00,10,9.76612802283063,2017-03-25 02:00:00,interval,after_hours,A,True
Bull_office_Lilla,profile_band,2017-04-20 07:00:00,2017-04-20 07:00:00,1,15.714285714285714,2017-04-20 07:00:00,point,spike,A,False
Bull_office_Lilla,profile_band,2017-05-29 08:00:00,2017-05-29 09:00:00,2,5.163043478260869,2017-05-29 09:00:00,point,after_hours,A,False
Bull_office_Lilla,profile_band+profile_band_sustained,2017-07-04 07:00:00,2017-07-04 09:00:00,3,6.288951841359773,2017-07-04 09:00:00,interval,after_hours,A,False
Bull_office_Lilla,profile_band,2017-07-25 16:00:00,2017-07-25 16:00:00,1,14.124293785310734,2017-07-25 16:00:00,point,spike,A,False
Bull_office_Lilla,profile_band_sustained,2017-07-25 16:00:00,2017-07-25 16:00:00,1,2.6790601676345767,2017-07-25 21:00:00,interval,sustained_high,A,False
Bull_office_Lilla,profile_band,2017-07-30 05:00:00,2017-07-30 05:00:00,1,20.383791446736964,2017-07-30 05:00:00,point,after_hours,A,True
Bull_office_Lilla,profile_band_sustained,2017-07-30 05:00:00,2017-07-30 05:00:00,1,3.940152247146031,2017-07-30 09:00:00,interval,after_hours,A,True
Bull_office_Lilla,profile_band,2017-08-08 13:00:00,2017-08-08 13:00:00,1,24.71001757469244,2017-08-08 13:00:00,point,spike,A,False
Bull_office_Lilla,profile_band_sustained,2017-08-08 13:00:00,2017-08-08 13:00:00,1,3.9168178644333893,2017-08-08 18:00:00,interval,sustained_high,A,False
Bull_office_Lilla,profile_band,2017-08-27 07:00:00,2017-08-27 08:00:00,2,27.935407830343053,2017-08-27 08:00:00,point,after_hours,A,True
Bull_office_Lilla,profile_band_sustained,2017-08-27 07:00:00,2017-08-27 08:00:00,2,9.318018250194873,2017-08-27 11:00:00,interval,after_hours,A,True
Bull_office_Lilla,profile_band+profile_band_sustained,2017-09-04 07:00:00,2017-09-04 09:00:00,3,7.112970711297071,2017-09-04 09:00:00,interval,after_hours,A,False
Bull_office_Lilla,profile_band,2017-10-02 17:00:00,2017-10-02 17:00:00,1,24.031007751937985,2017-10-02 17:00:00,point,spike,A,False
Bull_office_Lilla,profile_band_sustained,2017-10-02 17:00:00,2017-10-02 17:00:00,1,3.5114148579930906,2017-10-02 22:00:00,interval,sustained_high,A,False
Bull_office_Lilla,profile_band+profile_band_sustained,2017-10-09 07:00:00,2017-10-09 15:00:00,9,9.005524861878452,2017-10-09 09:00:00,interval,after_hours,A,False
Bull_office_Lilla,profile_band+profile_band_sustained,2017-10-22 08:00:00,2017-10-22 18:00:00,11,11.597751891932225,2017-10-22 09:00:00,interval,after_hours,A,True
Bull_office_Lilla,profile_band_sustained+profile_band,2017-10-27 22:00:00,2017-10-28 10:00:00,13,5.311653116531166,2017-10-28 09:00:00,interval,after_hours,A,False
Bull_office_Lilla,profile_band_sustained+profile_band,2017-10-28 22:00:00,2017-10-29 09:00:00,12,4.239130434782608,2017-10-29 05:00:00,interval,after_hours,A,False
Bull_office_Lilla,profile_band_sustained+profile_band,2017-11-10 01:00:00,2017-11-10 16:00:00,16,7.958990961823824,2017-11-10 09:00:00,interval,after_hours,A,False
Bull_office_Lilla,profile_band,2017-11-20 11:00:00,2017-11-20 11:00:00,1,34.61946902654867,2017-11-20 11:00:00,point,spike,A,False
