event_id,group,module,entity_id,key,type,severity,rule_or_model,start,end,detected_at,duration_h,actual_mean,expected_mean,deviation_pct,peak_z,excess_kwh,reference_window,score,n_merged,match,matched_case_id
LG-00510,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,baseload_rise,warning,lgbm_cusum_night_residual,2017-03-15 00:00:00,2017-03-21 23:00:00,2017-03-21 04:00:00,168,49.866,40.206,24.03,,,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M1-05-01
LG-00511,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-03-15 04:00:00,2017-03-15 08:00:00,2017-03-15 06:00:00,5,61.06,49.116,24.32,6.61,59.7,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00512,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,spike,warning,lgbm_quantile_band,2017-03-16 07:00:00,2017-03-16 08:00:00,2017-03-16 07:00:00,2,75.35,56.2,34.07,6.79,38.3,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00513,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-03-17 01:00:00,2017-03-17 07:00:00,2017-03-17 03:00:00,7,60.243,44.387,35.72,6.3,111.0,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00514,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-03-18 00:00:00,2017-03-18 03:00:00,2017-03-18 02:00:00,4,47.58,37.859,25.68,5.43,38.9,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00515,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,spike,warning,lgbm_quantile_band,2017-03-20 07:00:00,2017-03-20 08:00:00,2017-03-20 07:00:00,2,78.155,50.662,54.27,6.22,55.0,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00516,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,spike,warning,lgbm_quantile_band,2017-03-20 22:00:00,2017-03-20 23:00:00,2017-03-20 22:00:00,2,223.899,40.266,456.05,42.55,367.3,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M1-05-01
LG-00517,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-03-21 02:00:00,2017-03-21 04:00:00,2017-03-21 04:00:00,3,47.307,36.648,29.08,5.5,32.0,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M1-05-01
LG-00518,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,spike,warning,lgbm_quantile_band,2017-03-27 07:00:00,2017-03-27 08:00:00,2017-03-27 07:00:00,2,68.77,52.681,30.54,6.12,32.2,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00519,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-04-06 01:00:00,2017-04-06 03:00:00,2017-04-06 03:00:00,3,55.605,36.884,50.76,4.66,56.2,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M1-05-02
